番号,問題,回答1,回答2,回答3
1,男性は３年間留学をしたのに、英語が全く上達しなかった。なぜでしょう？,もともと、英語のネイティブスピーカーだった。,聴覚障害だった。
2,ある日、Aさんは部屋に入った途端、驚きの声を上げました。その部屋には何も特別なものはなく、ただの家具があるだけでした。しかし、Aさんは急いで部屋から出ました。なぜでしょう？,Aさんはその部屋が密室殺人事件の現場だと知っていたため、怖くなって急いで出ました。,部屋に入る直前にAさんはその部屋が次の日に爆破されるという情報を知っていたため、危険を感じてすぐに出ました。,Aさんはその部屋に大事なものを置き忘れていたことに気付き、急いで取りに戻ろうとしたためです。
3,Bさんは毎朝、特定の時間に電話をかける習慣があります。しかし、ある日、電話をかけるのを忘れてしまいました。すると、その日一日中、何かが変わっていると感じました。何が変わったのでしょうか？,Bさんは天気予報を電話で聞いていて、その日の天気を知らなかったため、傘を持って行かずに雨に降られました。,Bさんは目覚まし電話を設定しており、電話をかけ忘れたために寝坊してしまいました。,Bさんは仕事の始業を知らせるアラームとして使っており、電話をかけ忘れたために仕事に遅刻しました。
4,Cさんは毎週金曜日に同じカフェに行く習慣があります。しかし、ある金曜日に突然、別のカフェに行くことに決めました。その理由は何だったのでしょうか？,Cさんは友人と偶然再会し、その友人が新しいカフェに行こうと誘ったためです。,Cさんはその日だけ特定のメニューが提供されるカフェを見つけたため、そちらに行くことにしました。,いつものカフェが臨時休業していたため、仕方なく別のカフェに行きました。
5,Dさんの家には壊れた時計があります。その時計はずっと止まったままで、修理することもなく置かれています。しかし、Dさんはその時計を非常に大切にしています。なぜでしょう？,その時計はDさんの亡くなった祖父から譲り受けたもので、思い出の品だからです。,その時計が壊れた瞬間がDさんにとって非常に重要な出来事を示しているため、そのままにしているのです。,その時計は芸術品としての価値があり、壊れていても美しいため、修理せずに飾っています。
6,仲間しか場所を知らないはずのアジトが、たった1週間で破壊された。いったいなぜ？,アジトを作ったのは公園で、公園の管理人に撤去されてしまったから。,アジトを作ったのは、自宅で母親に片付けられてしまったから。
7,男の子は新鮮な魚を持って帰ったのに、食べようとはせず、家に置いたままでした。なぜでしょう？,男の子が持って帰ったのは、お祭りで取った金魚で、家の水槽に入れたから。
8,仲良しの４人は、結婚や家を買うタイミングまでほとんど一緒だった。なぜでしょう？,４人で人生ゲームをしていて、結婚マスや家を買えるマスが決まっていたから。
9,男性は大企業から採用通知を受け取ったが、嬉しくなかった。なぜでしょう？,男性は社長の息子で、親の会社に入るのが嫌だったから。
10,見知らぬ男性に話しかけられた女性は、その後音楽を聴くのをやめました。なぜでしょう？,自転車に乗りながら音楽を聴いていた女性は、警察官の男性に違反だと言われてその後音楽を聴くのをやめたから。
11,大事な紙にたくさん穴を開けてしまったのに、男性は大喜びしています。なぜでしょう？男性はビンゴ大会に参加していて、列が揃ってビンゴになったから大喜びしていました。
12,女性はチョコが大好きなのに、実家のチョコは食べようとしません。なぜでしょう？,実家のチョコというのは、犬の名前で食べることができなかったから。
13,男性は自分の大切にしていたものを仲の良かった子に奪われました。でも気分が良かった。なぜでしょう？,男性は好きな子に制服のボタンを取られたので、気分が良かった。
14,ケンは仕事をしていないのに、死ぬまでご飯に困ることはありませんでした。なぜでしょう？,ケンは、ペットの犬で、飼い主からご飯をもらっていたため仕事をしなくても困ることはなかった。,ケンは、刑務所にいたため仕事をしなくてもご飯に困ることはなかった。
15,女性は嫌いなものの名前を言われたのに、なぜか笑顔になりました。なぜでしょう？,「はい、チーズ」と言われたので、女性は笑顔になりました。
16,ある学校では、笑顔を見せると処罰を受けるらしい。なぜでしょう？,ガキの使いの「笑ってはいけない」の収録中だったから。
17,男性はバイト先で誰にも敬語を使わなかったのに、怒られることはありませんでした。なぜでしょう？,バイト先は、家族で経営しているお店だったので、敬語を使わなくても怒られることはありませんでした。
18,知らない男性に脅された女性は、笑顔でプレゼントを贈りました。なぜでしょう？,今日はハロウィンで、仮装した男の子に「トリックオアトリート、お菓子をくれなきゃいたずらしちゃうぞ」と言われたので、笑顔でお菓子をプレゼントしました。
19,女性は仕事で毎日５０Kmの移動を伴うが車や電車は使いません。なぜでしょう？,女性の仕事はエレベータガールで、毎日上下に数十km以上の移動を伴うため。
20,男性は戦いに買ったのに、悔しい気持ちになりました。なぜでしょう？,男性は、男気じゃんけんをしていて、買った人はお金を払う約束をしていたから。
